Figure 4 c,time_CH1,G_CH1,time_CH2,G_CH2,time_CH1 to CH2,G_CH1 to CH2,time_CH2 to CH1,G_CH2 to CH1,,,Figure 4 f,time_CH1,G_CH1,time_CH2,G_CH2,time_CH1 to CH2,G_CH1 to CH2,time_CH2 to CH1,G_CH2 to CH1
Figure 4 c,0.010027701314192842,0.9487094253259005,0.010027701314192842,0.9459694225920262,0.012947004815220682,-0.173842508,0.012947004815220682,-0.612232379,,,Figure 4 f,0.010027701314192842,0.9487094253259005,0.010027701314192842,0.9459694225920262,0.012947004815220682,-0.173842508,0.012947004815220682,-0.612232379
Figure 4 c,0.010478986403517337,0.9601570337911198,0.010478986403517337,0.9582007219523279,0.013566496484414426,-0.174372068,0.013566496484414426,-0.588696111,,,Figure 4 f,0.010478986403517337,0.9601570337911198,0.010478986403517337,0.9582007219523279,0.013566496484414426,-0.174372068,0.013566496484414426,-0.588696111
Figure 4 c,0.010950581055867843,0.9701870367597257,0.010950581055867843,0.9689464441294169,0.014215629752856606,-0.175237325,0.014215629752856606,-0.573989048,,,Figure 4 f,0.010950581055867843,0.9701870367597257,0.010950581055867843,0.9689464441294169,0.014215629752856606,-0.175237325,0.014215629752856606,-0.573989048
Figure 4 c,0.011443399279617482,0.9787824371351618,0.011443399279617482,0.9781570867848624,0.014895822919532837,-0.176473031,0.014895822919532837,-0.567914022,,,Figure 4 f,0.011443399279617482,0.9787824371351618,0.011443399279617482,0.9781570867848624,0.014895822919532837,-0.176473031,0.014895822919532837,-0.567914022
Figure 4 c,0.011958396,0.9859309776707864,0.011958396,0.9857908018000692,0.015608562,-0.178118134,0.015608562,-0.570161792,,,Figure 4 f,0.011958396,0.9859309776707864,0.011958396,0.9857908018000692,0.015608562,-0.178118134,0.015608562,-0.570161792
Figure 4 c,0.012496569995433452,0.9916253141132675,0.012496569995433452,0.991815015,0.016355404706365293,-0.180211858,0.016355404706365293,-0.580320082,,,Figure 4 f,0.012496569995433452,0.9916253141132675,0.012496569995433452,0.991815015,0.016355404706365293,-0.180211858,0.016355404706365293,-0.580320082
Figure 4 c,0.013058963661732328,0.995864574,0.013058963661732328,0.9962024881536026,0.017137982,-0.182785089,0.017137982,-0.597872541,,,Figure 4 f,0.013058963661732328,0.995864574,0.013058963661732328,0.9962024881536026,0.017137982,-0.182785089,0.017137982,-0.597872541
Figure 4 c,0.013646667,0.9986527198121964,0.013646667,0.998934286,0.017958005,-0.185874084,0.017958005,-0.622228617,,,Figure 4 f,0.013646667,0.9986527198121964,0.013646667,0.998934286,0.017958005,-0.185874084,0.017958005,-0.622228617
Figure 4 c,0.01426082,1,0.01426082,1,0.018817264,-0.189516954,0.018817264,-0.652724857,,,Figure 4 f,0.01426082,1,0.01426082,1,0.018817264,-0.189516954,0.018817264,-0.652724857
Figure 4 c,0.014902611344008434,0.9999203324912025,0.014902611344008434,0.9993975046932831,0.019717638,-0.193736634,0.019717638,-0.688658696,,,Figure 4 f,0.014902611344008434,0.9999203324912025,0.014902611344008434,0.9993975046932831,0.019717638,-0.193736634,0.019717638,-0.688658696
Figure 4 c,0.015573286115905588,0.998428566,0.015573286115905588,0.9971355624502244,0.020661092,-0.198569255,0.020661092,-0.729250829,,,Figure 4 f,0.015573286115905588,0.998428566,0.015573286115905588,0.9971355624502244,0.020661092,-0.198569255,0.020661092,-0.729250829
Figure 4 c,0.016274143829521887,0.9955434870029889,0.016274143829521887,0.9932312585514332,0.021649689773263522,-0.204058956,0.021649689773263522,-0.77374013,,,Figure 4 f,0.016274143829521887,0.9955434870029889,0.016274143829521887,0.9932312585514332,0.021649689773263522,-0.204058956,0.021649689773263522,-0.77374013
Figure 4 c,0.017006543,0.9912908838330032,0.017006543,0.9877097342813779,0.02268559,-0.210242207,0.02268559,-0.821293824,,,Figure 4 f,0.017006543,0.9912908838330032,0.017006543,0.9877097342813779,0.02268559,-0.210242207,0.02268559,-0.821293824
Figure 4 c,0.017771902606213162,0.9856975212110186,0.017771902606213162,0.9806044838408835,0.023771055813550695,-0.217169794,0.023771055813550695,-0.871088155,,,Figure 4 f,0.017771902606213162,0.9856975212110186,0.017771902606213162,0.9806044838408835,0.023771055813550695,-0.217169794,0.023771055813550695,-0.871088155
Figure 4 c,0.018571707,0.9787905147661085,0.018571707,0.9719556442752537,0.024908459503021955,-0.224879577,0.024908459503021955,-0.922270655,,,Figure 4 f,0.018571707,0.9787905147661085,0.018571707,0.9719556442752537,0.024908459503021955,-0.224879577,0.024908459503021955,-0.922270655
Figure 4 c,0.019407504662197962,0.9706037195821648,0.019407504662197962,0.961812998,0.026100285981408015,-0.233417315,0.026100285981408015,-0.973989125,,,Figure 4 f,0.019407504662197962,0.9706037195821648,0.019407504662197962,0.961812998,0.026100285981408015,-0.233417315,0.026100285981408015,-0.973989125
