Figure,Time (s),RBM10,mCherry,ccpCF V-R,ccpCF R-V,,Figure,Time (s),RBM10,mCherry,ccpCF V-R,ccpCF R-V
Figure 5d,0.007315912,0.356196606,0.239577848,0.523571009,-1.115191679,,Figure 5e,0.007315912,0.356197818,0.328796576,-0.378241366,-2.345511108
Figure 5d,0.007576433,0.349704271,0.241350138,0.489860421,-1.161693549,,Figure 5e,0.007576433,0.349705321,0.334992678,-0.502209626,-2.412280026
Figure 5d,0.007846231,0.344054453,0.242586539,0.453752657,-1.204029027,,Figure 5e,0.007846231,0.34405546,0.341044513,-0.637805855,-2.474337057
Figure 5d,0.008125637,0.339186217,0.243389126,0.415591256,-1.24203361,,Figure 5e,0.008125637,0.339187303,0.347078034,-0.782949883,-2.531129362
Figure 5d,0.008414993,0.335040869,0.243853758,0.375751158,-1.275426578,,Figure 5e,0.008414993,0.335042148,0.353193859,-0.935485125,-2.581874973
Figure 5d,0.008714652,0.331539126,0.244066075,0.33460237,-1.304211239,,Figure 5e,0.008714652,0.331540713,0.359475572,-1.093372036,-2.626338653
Figure 5d,0.009024983,0.328597611,0.244099639,0.292534688,-1.328257989,,Figure 5e,0.009024983,0.328599611,0.36598305,-1.254331134,-2.663927583
Figure 5d,0.009346364,0.326130582,0.243992017,0.249939668,-1.347567713,,Figure 5e,0.009346364,0.326133092,0.372724706,-1.416298432,-2.694356477
Figure 5d,0.00967919,0.324033464,0.243789811,0.207204494,-1.362249014,,Figure 5e,0.00967919,0.324036572,0.379696557,-1.577250506,-2.717548869
Figure 5d,0.010023868,0.322220518,0.243505702,0.164724246,-1.372404029,,Figure 5e,0.010023868,0.322224297,0.386851587,-1.735180856,-2.733366428
Figure 5d,0.01038082,0.320583226,0.243138941,0.122870605,-1.378132931,,Figure 5e,0.01038082,0.320587739,0.394118927,-1.888258853,-2.741783288
Figure 5d,0.010750483,0.319018598,0.242669447,0.082029122,-1.379644895,,Figure 5e,0.010750483,0.319023893,0.401393791,-2.034784666,-2.743009475
Figure 5d,0.01113331,0.317442537,0.242065622,0.042554817,-1.377248532,,Figure 5e,0.01113331,0.317448648,0.408556216,-2.173218582,-2.737394709
Figure 5d,0.011529769,0.315757311,0.241289571,0.004782168,-1.371161023,,Figure 5e,0.011529769,0.31576426,0.415469139,-2.302201253,-2.725224912
Figure 5d,0.011940346,0.313891815,0.240287759,-0.030996726,-1.36168042,,Figure 5e,0.011940346,0.313899608,0.421972144,-2.42076437,-2.707043643
Figure 5d,0.012365544,0.311792191,0.239002069,-0.064484519,-1.34916244,,Figure 5e,0.012365544,0.311800822,0.427907793,-2.527910065,-2.683477086
Figure 5d,0.012805884,0.30939208,0.237370977,-0.095464777,-1.333855446,,Figure 5e,0.012805884,0.309401529,0.43311098,-2.62317187,-2.655079523
Figure 5d,0.013261904,0.306675069,0.235340824,-0.123718692,-1.31607995,,Figure 5e,0.013261904,0.306685305,0.43743113,-2.706126019,-2.6225795
Figure 5d,0.013734163,0.303642281,0.232857894,-0.149085246,-1.296115353,,Figure 5e,0.013734163,0.303653263,0.440724986,-2.77670218,-2.586672369
Figure 5d,0.014223239,0.300290252,0.22986319,-0.171476061,-1.274174313,,Figure 5e,0.014223239,0.30030193,0.442846498,-2.835170145,-2.547960222
Figure 5d,0.014729732,0.296642291,0.226311206,-0.190793817,-1.250429992,,Figure 5e,0.014729732,0.296654607,0.443673424,-2.881832898,-2.50710567
Figure 5d,0.01525426,0.292760015,0.22217462,-0.207070758,-1.225059999,,Figure 5e,0.01525426,0.292772902,0.443118911,-2.917518471,-2.464697792
Figure 5d,0.015797468,0.288709538,0.217433315,-0.220346089,-1.198243344,,Figure 5e,0.015797468,0.288722926,0.441114467,-2.943151402,-2.421375984
Figure 5d,0.016360019,0.284556774,0.212080954,-0.230710704,-1.170047935,,Figure 5e,0.016360019,0.284570589,0.437617866,-2.959847508,-2.377612057
Figure 5d,0.016942602,0.280407502,0.206120185,-0.238321822,-1.140508521,,Figure 5e,0.016942602,0.280421666,0.432612605,-2.969007744,-2.333864099
Figure 5d,0.017545931,0.276367227,0.19956524,-0.243393428,-1.109659048,,Figure 5e,0.017545931,0.276381662,0.426113098,-2.972130044,-2.290458609
Figure 5d,0.018170746,0.272538722,0.192456862,-0.24613221,-1.077554292,,Figure 5e,0.018170746,0.272553347,0.418171763,-2.970771704,-2.247865459
Figure 5d,0.018817809,0.269040696,0.184831793,-0.24688185,-1.044336918,,Figure 5e,0.018817809,0.269055432,0.408851196,-2.966902382,-2.20651633
Figure 5d,0.019487915,0.265996328,0.176742929,-0.24586839,-1.009952713,,Figure 5e,0.019487915,0.266011096,0.398247614,-2.961887806,-2.16659562
Figure 5d,0.020181884,0.263516347,0.168258173,-0.243420282,-0.974615698,,Figure 5e,0.020181884,0.263531069,0.386485412,-2.957494081,-2.128603986
Figure 5d,0.020900565,0.261708623,0.159454313,-0.239882136,-0.938406265,,Figure 5e,0.020900565,0.261723224,0.373711251,-2.9553275,-2.092754764
Figure 5d,0.021644838,0.260673708,0.150406428,-0.235523205,-0.901474008,,Figure 5e,0.021644838,0.260688114,0.360079326,-2.956699128,-2.059380146
Figure 5d,0.022415615,0.26050084,0.141187113,-0.230651219,-0.864054125,,Figure 5e,0.022415615,0.260514982,0.345748305,-2.962853616,-2.028807823
Figure 5d,0.02321384,0.261264596,0.131886047,-0.225561732,-0.826506062,,Figure 5e,0.02321384,0.261278408,0.330906946,-2.974875084,-2.001524872
Figure 5d,0.024040489,0.263022841,0.122577406,-0.220513287,-0.789193082,,Figure 5e,0.024040489,0.263036261,0.315724763,-2.993604226,-1.977942572
Figure 5d,0.024896576,0.265833576,0.113333438,-0.215748876,-0.752502149,,Figure 5e,0.024896576,0.265846545,0.300375099,-3.019737328,-1.958515147
Figure 5d,0.025783148,0.269712738,0.104230186,-0.211445326,-0.71690718,,Figure 5e,0.025783148,0.269725203,0.285040988,-3.05351231,-1.943694295
Figure 5d,0.026701291,0.274688501,0.09533086,-0.20772155,-0.682872646,,Figure 5e,0.026701291,0.274700412,0.26989062,-3.094845339,-1.933910984
Figure 5d,0.027652129,0.280764674,0.086692834,-0.204679824,-0.650983835,,Figure 5e,0.027652129,0.280775988,0.255091916,-3.143585639,-1.929757414
Figure 5d,0.028636827,0.287923356,0.078370385,-0.202290616,-0.621681729,,Figure 5e,0.028636827,0.287934035,0.240790634,-3.198898517,-1.931545399
Figure 5d,0.02965659,0.29614721,0.070409937,-0.200616866,-0.595492315,,Figure 5e,0.02965659,0.296157222,0.227119279,-3.260302085,-1.939735157
Figure 5d,0.030712667,0.305392041,0.062851239,-0.199590026,-0.573081732,,Figure 5e,0.030712667,0.305401358,0.214205582,-3.326681885,-1.954811109
Figure 5d,0.031806351,0.315609988,0.055718038,-0.199120993,-0.554669332,,Figure 5e,0.031806351,0.315618588,0.202143057,-3.396872894,-1.976712968
Figure 5d,0.032938981,0.326747226,0.049044229,-0.199115373,-0.540713566,,Figure 5e,0.032938981,0.326755091,0.191018944,-3.469789063,-2.005762025
Figure 5d,0.034111945,0.338732928,0.042838334,-0.199433929,-0.53159077,,Figure 5e,0.034111945,0.338740046,0.18088528,-3.544048942,-2.042051832
Figure 5d,0.035326678,0.35148911,0.037103952,-0.19995896,-0.527675072,,Figure 5e,0.035326678,0.351495473,0.171778438,-3.618519886,-2.085747551
Figure 5d,0.036584668,0.364937027,0.031863566,-0.200527922,-0.529057615,,Figure 5e,0.036584668,0.364942633,0.163740508,-3.691826807,-2.136564813
Figure 5d,0.037887455,0.379002485,0.027123828,-0.200964877,-0.535767055,,Figure 5e,0.037887455,0.379007336,0.156787807,-3.762633741,-2.194207179
Figure 5d,0.039236635,0.393592409,0.02288761,-0.201089705,-0.547936698,,Figure 5e,0.039236635,0.393596509,0.150912484,-3.82963217,-2.258480856
Figure 5d,0.04063386,0.408620527,0.019172408,-0.200698939,-0.565585382,,Figure 5e,0.04063386,0.408623883,0.146116372,-3.891519797,-2.329054053
Figure 5d,0.04208084,0.424013134,0.016000283,-0.199705148,-0.588596932,,Figure 5e,0.04208084,0.424015758,0.142406852,-3.947549869,-2.405387141
Figure 5d,0.043579347,0.439689772,0.013367635,-0.197913132,-0.616807439,,Figure 5e,0.043579347,0.439691676,0.139733242,-3.996526079,-2.486989849
Figure 5d,0.045131216,0.455583429,0.011288829,-0.195278488,-0.650032312,,Figure 5e,0.045131216,0.455584627,0.138067729,-4.037959088,-2.573234588
Figure 5d,0.046738347,0.471607511,0.009774198,-0.191720975,-0.687907036,,Figure 5e,0.046738347,0.47160802,0.137376445,-4.071291169,-2.663369663
Figure 5d,0.048402709,0.487677986,0.008827427,-0.187132987,-0.730136352,,Figure 5e,0.048402709,0.487677823,0.137599355,-4.095917697,-2.756690931
