Figure,Crosstalk into Red Channel,Real Red Channel,,Figure,Time (s),V,R,ccpCF V-R,ccpCF R-V,,Figure,Time (s),V,R,ccpCF V-R,ccpCF R-V,,Figure,Crosstalk into Red Channel,Real Red Channel,,Figure,Time (s),V,R,ccpCF V-R,ccpCF R-V,,Figure,Time (s),V,R,ccpCF V-R,ccpCF R-V
Figure S2a,192,172,,Figure S2b,0.002703575,0.196767109,0.29166228,0.394982955,0.239094231,,FigureS2c,0.002703575,0.196767109,0.29166228,-1.677632564,-0.768251416,,FigureS2d,192,172,,Figure S2e,0.002031967,0.17307582402554322,0.1419379015166169,0.26564149741334125,0.3162841967969825,,Figure S2f,0.002031967,0.17307582402554322,0.1419379015166169,-1.299574734,-0.684741244
Figure S2a,217,198,,Figure S2b,0.002825681,0.224011049,0.311508085,0.422395721,0.266367762,,FigureS2c,0.002825681,0.224011049,0.311508085,-1.68054964,-0.757209579,,FigureS2d,217,198,,Figure S2e,0.002114285,0.1848753956008294,0.1530104813111149,0.28334845639746736,0.33232480503604667,,Figure S2f,0.002114285,0.1848753956008294,0.1530104813111149,-1.279105603,-0.731382531
Figure S2a,188,163,,Figure S2b,0.002953301,0.252187807,0.332055423,0.450120225,0.293946291,,FigureS2c,0.002953301,0.252187807,0.332055423,-1.678889673,-0.747349801,,FigureS2d,188,163,,Figure S2e,0.002199937,0.19735549794883409,0.1649578413247746,0.301695934,0.34904725661886943,,Figure S2f,0.002199937,0.19735549794883409,0.1649578413247746,-1.260607829,-0.774732158
Figure S2a,177,172,,Figure S2b,0.003086686,0.281265496,0.35331926,0.478057736,0.321772068,,FigureS2c,0.003086686,0.281265496,0.35331926,-1.672875341,-0.73862002,,FigureS2d,177,172,,Figure S2e,0.00228906,0.21054104875843882,0.17778577709311694,0.32067494718596673,0.3664391435331385,,Figure S2f,0.00228906,0.21054104875843882,0.17778577709311694,-1.24401785,-0.814529391
Figure S2a,189,192,,Figure S2b,0.003226094,0.311209113,0.375309662,0.506099351,0.349764913,,FigureS2c,0.003226094,0.311209113,0.375309662,-1.662665163,-0.730928083,,FigureS2d,189,192,,Figure S2e,0.002381793,0.22446753212147894,0.19150940286790427,0.3402696324322956,0.3844781605329498,,Figure S2f,0.002381793,0.22446753212147894,0.19150940286790427,-1.229254786,-0.850547652
Figure S2a,188,189,,Figure S2b,0.003371799,0.341930282,0.397987894,0.534135558,0.377850727,,FigureS2c,0.003371799,0.341930282,0.397987894,-1.648534151,-0.724226203,,FigureS2d,188,189,,Figure S2e,0.002478282,0.2391684561994114,0.20614150725248873,0.36047495443306393,0.4031560596893912,,Figure S2f,0.002478282,0.2391684561994114,0.20614150725248873,-1.216198479,-0.88279853
Figure S2a,181,196,,Figure S2b,0.003524085,0.37333019,0.421306004,0.562054352,0.405945821,,FigureS2c,0.003524085,0.37333019,0.421306004,-1.630721099,-0.718395075,,FigureS2d,181,196,,Figure S2e,0.002578681,0.25467439516578233,0.22169444460692017,0.3812607909608971,0.42243463027937844,,Figure S2f,0.002578681,0.25467439516578233,0.22169444460692017,-1.204710963,-0.911224272
Figure S2a,160,157,,Figure S2b,0.003683249,0.405314343,0.445217617,0.589746987,0.433973153,,FigureS2c,0.003683249,0.405314343,0.445217617,-1.609532358,-0.713363043,,FigureS2d,160,157,,Figure S2e,0.002683147,0.2710051995151812,0.23817074094088217,0.40259870467962466,0.4422791206800907,,Figure S2f,0.002683147,0.2710051995151812,0.23817074094088217,-1.194660678,-0.935970302
Figure S2a,168,170,,Figure S2b,0.003849601,0.437748256,0.469635034,0.617104187,0.461854115,,FigureS2c,0.003849601,0.437748256,0.469635034,-1.585388615,-0.709074654,,FigureS2d,168,170,,Figure S2e,0.002791845,0.28817463641840335,0.25556611488228564,0.42445154553807235,0.46264403161762613,,Figure S2f,0.002791845,0.28817463641840335,0.25556611488228564,-1.185820591,-0.957134611
Figure S2a,152,173,,Figure S2b,0.004023466,0.47047182,0.494452673,0.644019054,0.489510404,,FigureS2c,0.004023466,0.47047182,0.494452673,-1.558625235,-0.705424288,,FigureS2d,152,173,,Figure S2e,0.002904946,0.30621680668206824,0.27390270728712657,0.4467814454386724,0.4834872506583386,,Figure S2f,0.002904946,0.30621680668206824,0.27390270728712657,-1.178035646,-0.974855484
