Time (s),RBM10,NS5,ccpCF V-R,ccpCF R-V
0.004405634757630584,0.1444974965294551,-0.0007139798437499662,-8.528141826922672e-05,-0.000539301093749975
0.004555271373378688,0.1430108246769749,-0.0007056376562499669,-6.325388221153542e-05,-0.0005014137980768994
0.004709990370668698,0.13477439333522434,-0.0006940560817307366,-4.168868990384411e-05,-0.0004573204687499786
0.004869964371702793,0.12421486394030645,-0.0006783166105768911,-2.100480769230659e-05,-0.00040829382211536553
0.005035371861766123,0.11195514983833432,-0.0006575751081730461,-1.7585456730767138e-06,-0.0003557851682692141
0.005206397388365413,0.09860086551730807,-0.0006311803365384317,1.542813701923018e-05,-0.00030125353365383214
0.005383231767131251,0.084693456052368,-0.0005987472235576641,2.9830420673075714e-05,-0.0002462210336538347
0.005566072294713808,0.07068196957718642,-0.0005601437139422813,4.0764915865382874e-05,-0.00019210768028845253
0.0057551229689095495,0.056928358816254354,-0.0005156122355768988,4.758984374999798e-05,-0.00014025626201922417
0.00595059471626451,0.043666037295469806,-0.0004657005769230549,4.983746394230551e-05,-9.181099759614944e-05
0.006152705627408056,0.03102182017182442,-0.0004112862740384421,4.719439903845956e-05,-4.771492788461307e-05
0.006361681200379709,0.01905931748390588,-0.0003535073677884448,3.963161057692146e-05,-8.710961538461023e-06
0.006577754592220551,0.007778767174501655,-0.0002936399278846016,2.7389062499998905e-05,2.4755661057691306e-05
0.006801166879109894,-0.002861470744241368,-0.00023309418269229664,1.102116586538427e-05,5.2458497596151523e-05
0.007032167325337411,-0.012900381319597531,-0.0001732811658653765,-8.65263221153789e-06,7.44117067307659e-05
0.0072710136614108625,-0.022400547679176486,-0.00011549233173076376,-3.054205528845998e-05,9.079530048076522e-05
0.007517972371609737,-0.03136342670074749,-6.086689903845863e-05,-5.342614182692047e-05,0.00010188710336538003
0.007773318991305566,-0.039774633281740746,-1.0267788461537916e-05,-7.591374999999638e-05,0.0001081160817307644
0.008037338414380708,-0.04757939883662854,3.5665781249998394e-05,-9.668276442307236e-05,0.00010989792067307195
0.008310325211088525,-0.05467964919251561,7.660626201922723e-05,-0.00011446006009614849,0.00010767105769230287
0.00859258395670961,-0.06095584523239306,0.00011246503605768706,-0.00012816749999999407,0.0001018090504807647
0.008884429571370816,-0.06625604587577044,0.00014336478365383946,-0.00013700163461537827,9.267754807691895e-05
0.009186187671406165,-0.07039985709406654,0.00016961171874999205,-0.00014043031249999353,8.05616105769196e-05
0.009498194932651643,-0.07318794544768381,0.00019155322115383728,-0.0001382332812499937,6.575431490384332e-05
